"treat" "flume" "time" "total.fluo" "FIX" "FIX2" "HIX" "HIX2" "beta.alpha" "DecAbsCoeff254" "DecAbsCoeff365" "DecAbsCoeff420" "DecAbsCoeff430" "DecAbsCoeff436" "DecAbsCoeff440" "slope_classic" "slope_lm" "slope_short_Helms" "slope_short_Loiselle" "SR_Helms" "SR_Loiselle" "E2.to.E3" "E4.to.E6" "SUVA254" "SA440" "a255/a365"
"1" "C" "A" "1" 600.8832822 1.106451398 1.435005467 4.694095063 0.824379469 0.556967019 11.86037522 2.421325322 0.991041419 0.85517597 0.781550947 0.731216325 -0.009380006 -0.013946141 -0.013826918 -0.013792553 0.840300496 0.835512246 5.092405679 0.450339081 3.08863938020833 0.19042091796875 4.89829892424509
"2" "C" "B" "1" 585.461515 1.109750034 1.454827778 5.702836946 0.85080944 0.540176848 12.54818552 2.938165818 1.442236933 1.283464309 1.201687329 1.145602696 -0.009470486 -0.012652437 -0.012906254 -0.012872989 0.939057281 0.927448696 4.431506874 0.809420207 3.48560708888889 0.318222971111111 4.27075471477015
"3" "C" "C" "1" 610.0438836 1.114613799 1.463402718 2.888305005 0.742818529 0.553581739 14.11220572 4.263178972 2.681501734 2.509875543 2.415364875 2.351687518 -0.00692734 -0.009509344 -0.011503358 -0.011497703 1.208655347 1.191960626 3.427910553 1.573219321 4.3963257694704 0.732612933956386 3.31025411147107
"4" "C" "D" "1" 582.6463623 1.107086049 1.424674717 7.758208148 0.885821394 0.53599253 12.1819637 2.632751028 1.192271592 1.039820373 0.966528541 0.916950418 -0.008228448 -0.013188503 -0.013425254 -0.013378329 0.887304725 0.877068685 4.807004682 0.376511324 3.5005642816092 0.263491499425287 4.62708534549663
"5" "C" "E" "1" 641.3850792 1.092433314 1.461323392 7.422807203 0.881274737 0.534492453 13.37124448 3.713648196 2.142915613 1.989550013 1.897617243 1.836350111 -0.007549709 -0.01061391 -0.011773527 -0.011752881 1.084287429 1.069630983 3.730887097 1.011179893 3.20653344844125 0.440371729256595 3.60056843682777
"6" "C" "A" "2" 632.5203737 1.085718839 1.42388369 6.374334416 0.864394541 0.544704526 12.87227246 3.271564855 1.71717028 1.552344708 1.473502304 1.421400524 -0.008835946 -0.011775887 -0.012290696 -0.01225818 0.973408057 0.960559898 4.081709441 1.370454994 4.11254711182109 0.454121573162939 3.93459186368476
"7" "C" "B" "2" 564.5898199 1.102376975 1.445822927 6.778390651 0.871438702 0.55626247 11.87994153 2.537739399 1.157333094 1.024786727 0.953429545 0.903976367 -0.009989527 -0.013449176 -0.013382181 -0.013357238 0.915502999 0.910802967 4.868541001 0.690159296 3.15117812466843 0.239781529708223 4.6813087012328
"8" "C" "C" "2" 579.6591787 1.096416304 1.443143421 8.096199479 0.890063976 0.550448483 11.93565756 2.561487197 1.129482357 0.983121171 0.911091023 0.863986189 -0.008019967 -0.013252875 -0.013312185 -0.013278958 0.860410523 0.852878256 4.843396714 0.307131805 4.14432554166667 0.299995204513889 4.65965926902894
"9" "C" "D" "2" 573.8449913 1.097186184 1.417894758 6.750336526 0.870973345 0.537623967 12.29418412 2.773193739 1.2850761 1.12889131 1.055661486 1.007656728 -0.009467256 -0.013042263 -0.013101606 -0.01307876 0.902599835 0.894921494 4.606388962 0.706382075 4.71041537164751 0.386075374712644 4.43322222573358
"10" "C" "E" "2" 563.6967991 1.105688294 1.408407856 6.738031677 0.870768169 0.541425311 11.90158603 2.55407951 1.164279768 1.034517274 0.96050198 0.910475586 -0.0110861 -0.013503516 -0.0134201 -0.013392447 0.923406785 0.919123181 4.844787021 1.44300733 4.26580144444444 0.326335335483871 4.65983380055384
