sample	Comp.1	Comp.2	Comp.3	Comp.4
C_A2	0.000849081	0.000480835	0.000370575	0.000187218
C_A3	0.000854202	0.000475433	0.000368868	0.000209929
C_A4	0.000856992	0.000479495	0.00037335	0.000179375
C_A6	0.000855958	0.000470879	0.000365882	0.000221362
C_A8	0.000854611	0.000479432	0.000375155	0.000179569
C_B1	0.000848571	0.000477132	0.000371341	0.000206978
C_B2	0.000850825	0.000480451	0.000372197	0.000179842
C_B3	0.000855076	0.000480658	0.000371373	0.000178168
C_B4	0.000862253	0.000478614	0.000372908	0.000174309
C_B6	0.000859439	0.000472886	0.000368415	0.000208956
C_B8	0.000849844	0.000479098	0.00037395	0.000190628
C_C2	0.000853085	0.000484478	0.000373221	0.000163997
C_C3	0.000855588	0.000483084	0.000373275	0.00016303
C_C4	0.000860878	0.000474579	0.000371835	0.000190442
C_C6	0.000855987	0.000471602	0.000367027	0.000222806
C_C8	0.0008572	0.000476963	0.000376422	0.000182724
C_D1	0.000854027	0.000481079	0.000371504	0.000176323
C_D2	0.000851206	0.000481727	0.000370361	0.000183674
C_D3	0.000858705	0.000482256	0.000372556	0.000158419
C_D4	0.000861992	0.000476576	0.00036974	0.000184896
C_D6	0.000862216	0.000470075	0.000365852	0.000223874
C_D8	0.000855054	0.00047772	0.000371931	0.000195863
C_E1	0.000845036	0.00048332	0.000370937	0.000183416
C_E2	0.000849823	0.00048063	0.000369663	0.000185248
C_E3	0.000853845	0.000475542	0.00036811	0.000211356
C_E4	0.000858694	0.000476322	0.000372311	0.000187073
C_E6	0.00086256	0.000473773	0.000366608	0.00020414
C_E8	0.000846777	0.000475746	0.000368251	0.000231475
T_A1	0.000857398	0.000478031	0.000375221	0.000176644
T_A2	0.000866413	0.000475175	0.000369256	0.000181597
T_A3	0.000858955	0.000479023	0.000371129	0.000171817
T_A4	0.0008639	0.000469783	0.00037047	0.000208223
T_A6	0.000866281	0.000474787	0.000366911	0.000191578
T_A8	0.000858847	0.000466317	0.000364048	0.000242342
T_B2	0.000849256	0.000480329	0.000364365	0.000195986
T_B3	0.000858155	0.00048159	0.000371353	0.000174111
T_B4	0.000861982	0.000474921	0.000372439	0.000184891
T_B6	0.000862604	0.000475337	0.00037159	0.000183731
T_B8	0.000853308	0.000471333	0.000369798	0.000207307
T_C1	0.000847477	0.000468499	0.000363194	0.00025356
T_C2	0.000855384	0.000477991	0.00037018	0.000179175
T_C3	0.00086551	0.000476387	0.000371549	0.000181526
T_C4	0.000856079	0.000476255	0.000370492	0.00019574
T_C6	0.000862	0.000473304	0.00036777	0.000201245
T_D1	0.000851943	0.000477329	0.000375141	0.000179213
T_D2	0.000855553	0.00047533	0.00036886	0.000197525
T_D3	0.000868791	0.000475598	0.000372205	0.000169621
T_D4	0.000863616	0.000476318	0.000371612	0.000176104
T_D6	0.000862023	0.000472665	0.000370925	0.000188664
T_D8	0.000852135	0.000476012	0.000373947	0.000189359
T_E1	0.000856974	0.000474205	0.000369714	0.00019821
T_E2	0.000845861	0.000472759	0.00036729	0.000227169
T_E3	0.000850476	0.000476071	0.000370568	0.000202008
T_E4	0.000847274	0.000469965	0.000365127	0.000240448
T_E6	0.000864452	0.000473009	0.000367382	0.000202529
T_E8	0.000855931	0.000476252	0.000374576	0.00018296
